[2016/4/12 - 22:22:27] [DEBUG] Jav Trung (113.174.22.240) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/12 - 22:35:02] [DEBUG] Best Skill (27.3.192.214) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/12 - 23:08:14] [DEBUG] Jav Trung (113.22.237.252) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/13 - 5:37:46] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 5:46:10] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 5:50:07] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 6:58:02] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 7:16:46] [DEBUG] Justin TRS (151.213.165.223) VIP het han (Thoi gian su dung VIP: 1460505172 | Level: 3)
[2016/4/13 - 7:20:52] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 7:26:12] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 7:31:11] [DEBUG] Justin TRS (151.213.165.223) VIP het han (Thoi gian su dung VIP: 1460505172 | Level: 3)
[2016/4/13 - 7:43:59] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 7:48:50] [DEBUG] Nguyen Quoc Tuan (151.213.165.223) VIP het han (Thoi gian su dung VIP: 1460507189 | Level: 3)
[2016/4/13 - 7:50:45] [DEBUG] Sam Regamay (172.56.26.40) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/13 - 7:58:15] [DEBUG] Nguyen Quoc Tuan (151.213.165.223) VIP het han (Thoi gian su dung VIP: 1460507189 | Level: 3)
[2016/4/13 - 8:04:52] [DEBUG] Best Skill (27.3.192.117) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 8:17:42] [DEBUG] Nguyen Quoc Tuan (151.213.165.223) VIP het han (Thoi gian su dung VIP: 1460507189 | Level: 3)
[2016/4/13 - 9:18:22] [DEBUG] Jack Robert (27.72.2.60) VIP het han (Thoi gian su dung VIP: 1460469611 | Level: 3)
[2016/4/13 - 9:18:43] [DEBUG] Army Free (113.162.203.104) VIP het han (Thoi gian su dung VIP: 1460471338 | Level: 3)
[2016/4/13 - 9:23:04] [DEBUG] Jack Robert (27.72.2.60) VIP het han (Thoi gian su dung VIP: 1460469611 | Level: 3)
[2016/4/13 - 9:50:47] [DEBUG] Yakuza Nam (115.78.89.53) VIP het han (Thoi gian su dung VIP: 1460515625 | Level: 3)
[2016/4/13 - 9:54:32] [DEBUG] Yakuza Nam (115.78.89.53) VIP het han (Thoi gian su dung VIP: 1460515625 | Level: 3)
[2016/4/13 - 10:01:07] [DEBUG] Best Skill (27.3.192.117) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 10:14:06] [DEBUG] Yakuza Nam (115.78.89.53) VIP het han (Thoi gian su dung VIP: 1460515625 | Level: 3)
[2016/4/13 - 11:04:20] [DEBUG] Jav Trung (113.22.237.252) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/13 - 11:24:26] [DEBUG] Jav Trung (113.22.237.252) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/13 - 11:43:48] [DEBUG] Best Skill (27.3.192.117) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 12:38:13] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 13:25:16] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 13:50:53] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 14:09:48] [DEBUG] Mafia Khanh (113.176.206.143) VIP het han (Thoi gian su dung VIP: 1460467371 | Level: 3)
[2016/4/13 - 14:31:09] [DEBUG] Red Sociu (115.78.202.74) VIP het han (Thoi gian su dung VIP: 1460511434 | Level: 3)
[2016/4/13 - 15:52:04] [DEBUG] Kuro Sama (14.167.122.47) VIP het han (Thoi gian su dung VIP: 1460467839 | Level: 3)
[2016/4/13 - 16:30:29] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 16:54:09] [DEBUG] Alex Best (203.205.32.85) VIP het han (Thoi gian su dung VIP: 1460466491 | Level: 3)
[2016/4/13 - 17:12:29] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/13 - 17:21:04] [DEBUG] Huynh Tong Khoa (117.3.36.83) VIP het han (Thoi gian su dung VIP: 1460535146 | Level: 3)
[2016/4/13 - 17:25:39] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 17:35:39] [DEBUG] Army Bos (115.78.132.41) VIP het han (Thoi gian su dung VIP: 1460536672 | Level: 3)
[2016/4/13 - 17:39:48] [DEBUG] Army Bos (115.78.132.41) VIP het han (Thoi gian su dung VIP: 1460536672 | Level: 3)
[2016/4/13 - 17:40:29] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/13 - 17:43:05] [DEBUG] Huynh Tong Khoa (117.3.36.83) VIP het han (Thoi gian su dung VIP: 1460535146 | Level: 3)
[2016/4/13 - 17:43:40] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/13 - 17:44:18] [DEBUG] Army Bos (115.78.132.41) VIP het han (Thoi gian su dung VIP: 1460536672 | Level: 3)
[2016/4/13 - 17:47:00] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 17:51:28] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/13 - 17:57:32] [DEBUG] Army Bos (115.78.132.41) VIP het han (Thoi gian su dung VIP: 1460536672 | Level: 3)
[2016/4/13 - 17:58:40] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
